X,Y,Z,lon,lat,lon_wsta,lat_wsta,h_wsta,north_wsta,east_wsta,azimuth_pyproj,azimuth_back_pyproj,distance_pyproj,dif_z,elevation_pyproj,zenith_view_pyproj,azimuth_pyproj_360,azimuth_pyproj_class360,euclidean_distance,azimuth_bearing,azimuth_bearing_360,azimuth_bearing_class360,elevation_manual,zenith_view_manual,distance_comparison,azimuth_comparison,elevation_comparison,azimuth_class_comparison,azimuth_hor
214298.5,494541.5,3.8124942779541016,6.259205131132745,52.43544767480389,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,8.972027244667835,-171.02779133363825,99.81136015303088,-1.2275057220458985,-0.7046026788284169,90.70460267882842,8.972027244667835,9.0,99.80513064533042,8.949971786373707,8.949971786373707,9.0,-0.7046466533738096,90.7046466533738,0.0062295077004677,0.0220554582941279,4.397454539273316e-05,0.0,-171.0
214299.5,494541.5,3.8019859790802,6.259219834769748,52.43544756656483,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,9.53927889949918,-170.46052802378887,99.96031587282978,-1.2380140209197998,-0.7095751078580106,90.70957510785802,9.53927889949918,10.0,99.95407738938188,9.515879116948378,9.515879116948378,10.0,-0.7096193903928354,90.70961939039285,0.0062384834479018,0.0233997825508005,4.428253482480216e-05,0.0,-170.0
214263.5,494540.5,3.878053903579712,6.25869032678802,52.435442475377634,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-11.221963776361724,168.77780957936386,99.9220189065051,-1.161946096420288,-0.6662356057198495,90.66623560571983,348.77803622363825,349.0,99.91578310410348,348.8053679975177,348.8053679975177,349.0,-0.6662771821249678,90.66627718212496,0.0062358024016333,360.02733177387944,4.1576405118259885e-05,0.0,169.0
214265.5,494540.5,3.8778364658355713,6.25871973406232,52.43544225902851,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-10.09526908829668,169.90452757746496,99.52842374595384,-1.1621635341644287,-0.6689952183998357,90.66899521839984,349.9047309117033,350.0,99.52221199595787,349.92943946347555,349.92943946347555,350.0,-0.6690369704191814,90.6690369704192,0.0062117499959697,360.0247085517722,4.175201934575323e-05,0.0,170.0
214267.5,494540.5,3.882536649703979,6.258749141336421,52.43544204267279,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-8.96007076089397,171.03974921490348,99.17361245964528,-1.157463350296021,-0.6686733736428162,90.66867337364282,351.039929239106,351.0,99.1674223111124,351.0619562686519,351.0619562686519,351.0,-0.6687151092404378,90.66871510924044,0.0061901485328945,360.0220270295459,4.173559762155055e-05,0.0,171.0
214302.5,494540.5,3.798566102981568,6.259263768575208,52.43543825524234,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,11.335530810724704,-168.664241287908,99.48258567119196,-1.2414338970184322,-0.714951572374814,90.71495157237482,11.335530810724704,11.0,99.4763769691972,11.307936893899324,11.307936893899324,11.0,-0.7149961906106147,90.71499619061062,0.0062087019947796,0.0275939168253813,4.461823580070856e-05,0.0,-169.0
214303.5,494540.5,3.785269498825073,6.25927847220882,52.43543814699566,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,11.90052320961642,-168.09923723400172,99.67217749509888,-1.2547305011749272,-0.721234016849144,90.72123401684914,11.90052320961642,12.0,99.66595737035234,11.871631649528291,11.871631649528291,12.0,-0.721279024108798,90.7212790241088,0.0062201247465338,0.0288915600881267,4.50072596539508e-05,0.0,-168.0
214259.5,494539.5,3.875223159790039,6.2586313352609615,52.43543392145386,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-13.586969771584911,166.41275682380075,99.85422197745356,-1.164776840209961,-0.6683119557066953,90.6683119557067,346.4130302284151,346.0,99.8479910466108,346.44572656462793,346.44572656462793,346.0,-0.668353657375427,90.66835365737543,0.0062309308427757,360.03269633621284,4.1701668731630726e-05,0.0,166.0
214260.5,494539.5,3.8742163181304927,6.258646038895471,52.4354338132874,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-13.029503187505794,166.97023506289517,99.61231432931504,-1.165783681869507,-0.6705138415109579,90.67051384151095,346.9704968124942,347.0,99.60609820525616,347.0019473080501,347.0019473080501,347.0,-0.6705556824898399,90.67055568248983,0.0062161240588949,360.0314504955559,4.1840978881935165e-05,0.0,167.0
214261.5,494539.5,3.876810550689697,6.258660742529999,52.43543370511962,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-12.469375721366063,167.5303741840502,99.37988198427615,-1.1631894493103032,-0.6705864583645945,90.6705864583646,347.5306242786339,348.0,99.37368003302583,347.56081103399,347.56081103399,348.0,-0.6706283061123716,90.67062830611238,0.0062019512503184,360.03018675535606,4.184774777704625e-05,0.0,168.0
