DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
129,5,3.7322,4.118104,2.8311877,3.55968713,2.533,3.59748,5.5234346
130,5,3.6886,4.09023,2.8356152,3.55249521,2.519,3.590316,5.4943716
131,5,4.0398,3.924541,2.3714639,3.84229837,2.38,3.89132,5.4657334
132,5,3.7412,3.898047,2.3500796,3.60993202,2.548,3.650876,5.43754
133,5,3.2531,3.583632,2.7615037,3.12299264,2.51,3.151008,5.604722
134,5,3.3514,3.559963,2.43447,3.18465458,2.505,3.219048,5.575204
135,5,3.3618,3.536763,1.9792301,3.20946132,2.471,3.24594,5.5447627
136,5,3.7683,3.514041,2.3135876,3.58630608,2.413,3.611484,5.5163086
137,5,3.2749,3.773013,2.670058,3.11771738,2.415,3.145152,5.488387
138,5,3.0771,3.74957,2.6044866,2.93449647,2.373,2.95498,5.4610137
139,5,3.0124,3.916952,1.9145447,2.94142613,2.546,2.954096,5.434206
140,5,3.9153,3.908575,1.8576871,3.67827004,2.319,3.701548,5.4079785
141,5,3.9827,3.870096,2.5875464,3.79322708,2.421,3.810392,5.382347
142,5,3.6287,3.847582,2.5247688,3.44481831,2.499,3.507864,5.3573276
143,5,3.2127,3.825689,1.856652,3.06275185,2.52,3.121728,5.3329355
144,5,3.2586,3.620726,2.1309019,3.05061455,2.394,3.120724,5.309185
145,5,3.8913,3.60131,2.1590847,3.6616361,2.49,3.742988,5.283145
146,5,3.961,3.582504,2.2651777,3.66930931,2.368,3.760248,5.2609214
147,5,3.2234,3.564319,2.1567869,3.00193221,2.453,3.09086,5.2393667
148,5,3.0674,3.546761,1.7944536,2.88071401,2.406,2.956716,5.2184946
149,5,3.3557,3.529838,2.061306,3.18230443,2.411,3.235444,5.1983203
150,5,3.0013,3.513557,1.7323131,2.85965738,2.45,2.9221,5.178857
151,5,3.3972,3.334655,2.4228303,3.14629848,2.393,3.215088,5.160117
152,6,3.0572,3.289829,1.8314585,2.88426056,2.397,2.949744,4.958617
153,6,2.5839,3.276475,2.0836106,2.42783207,2.173,2.494872,4.798871
154,6,3.2011,3.263744,1.6826624,2.97745053,2.321,3.0508,4.925288
155,6,3.4817,3.466278,1.7262325,3.24669878,2.325,3.311896,4.770568
156,6,2.9972,3.453978,1.9867206,2.81536665,2.31,2.873184,4.7575283
157,6,3.1832,3.442362,1.62126,2.9737608,2.284,3.033752,4.745239
158,6,3.2601,3.431433,1.5059022,3.04051296,2.266,3.09714,4.7337095
159,6,3.7198,3.421198,2.1082444,3.44730719,2.229,3.525048,4.7229443
160,6,3.2853,3.412196,1.7702772,3.06236732,2.228,3.135876,4.7129526
161,6,3.1808,3.403379,1.7015978,2.9762007,2.265,3.04978,4.703739
162,6,3.3155,3.395263,1.8062802,3.08108919,2.251,3.160428,4.6953086
163,6,3.4447,3.387853,1.5788295,3.23624984,2.165,3.311348,4.687667
164,6,3.5978,3.381151,1.6138656,3.33929401,2.149,3.419824,4.6808184
