WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1365.43651,1599.982,737.7432,806.52442,4223.958983,126
2154.63498,1920.9804,1286.2865,2358.02094,3473.0457,127
3002.09642,2673.5706,1473.5222,3439.70893,3469.275,128
3492.26636,2029.54426,1671.24378,3424.43477,3559.68713,129
3740.95477,3036.6901,1733.9065,4499.9729,3552.49521,130
4401.45364,4508.5203,1941.9582,3667.5871,3842.29837,131
5066.1855,4518.0211,2143.2787,5574.5585,3609.93202,132
4348.91723,2619.6125,1771.3164,5069.59494,3122.99264,133
3222.1769,2763.9724,1577.238,3203.15864,3184.65458,134
2294.35614,1494.44086,1024.8481,1714.66571,3209.46132,135
2330.2539,2096.5334,1639.5993,3965.69002,3586.30608,136
1643.0696,2299.9243,1112.7462,1084.9754,3117.71738,137
3714.248,3579.0293,1866.184,4456.5235,2934.49647,138
3400.1386,3325.0229,1958.4603,4317.444,2941.42613,139
3568.5786,2509.7263,1953.7173,4625.6713,3678.27004,140
3389.15882,3938.88699,1912.73338,3032.41247,3793.22708,141
3606.05912,3786.64125,1926.93221,4033.87537,3444.81831,142
3436.087737,2646.337147,1940.932931,4849.571719,3062.75185,143
4662.51588,4622.57752,2199.33247,5265.49521,3050.61455,144
4503.28641,4399.76129,2202.90188,5109.28169,3661.6361,145
3207.44499,2540.14491,1617.81913,3783.54755,3669.30931,146
2892.532101,1978.317366,1764.235493,4175.884645,3001.93221,147
3610.52217,3768.74705,2011.92746,4256.05024,2880.71401,148
4600.46211,4550.1426,2296.64585,5358.64348,3182.30443,149
3901.73779,2776.42715,2095.07094,5194.22292,2859.65738,150
3718.68378,3287.10832,2152.11392,4734.45446,3146.29848,151
2941.48747,2378.92884,1669.23767,2743.17567,2884.26056,152
2357.76308,2740.71771,1586.0442,2286.77093,2427.83207,153
4070.47271,3480.95537,2124.51209,4901.92856,2977.45053,154
2232.66306,2828.78517,1582.77301,2034.94357,3246.69878,155
2635.89227,2400.70307,1477.38553,2202.13563,2815.36665,156
2897.05577,3238.3253,1735.80935,2787.11675,2973.7608,157
3157.69291,3042.98065,2056.67355,4605.32368,3040.51296,158
3624.39009,3763.80967,2039.22285,4018.74742,3447.30719,159
4038.52203,3764.049,2189.4759,4526.69761,3062.36732,160
4274.34972,4369.05297,2491.49098,5375.62725,2976.2007,161
3366.14384,3763.67299,2221.74836,4856.34688,3081.08919,162
3229.92118,3364.29413,1845.93694,3361.78462,3236.24984,163
2759.91434,3282.18181,1989.76331,3149.69055,3339.29401,164
3547.95433,3611.62833,2119.50488,3907.22319,3256.54906,165
3206.61632,3149.95575,1994.92183,3423.83706,2919.53948,166
3566.73194,3879.5783,2175.30808,4323.16263,2978.5582,167
3516.14068,3668.53271,2194.96543,4367.21101,3364.23933,168
3369.10316,3019.74368,2349.49217,5162.96299,3541.63957,169
3154.32617,2467.70526,2100.97626,4485.73486,3123.57234,170
2266.11734,3098.63946,1614.57251,2905.54841,3035.01743,171
3354.53397,3256.98408,2094.12295,4288.22094,2747.58657,172
2234.46269,2246.47105,1837.38082,3381.72263,2980.06168,173
3363.25351,4026.95698,2137.07007,3822.28803,3255.04546,174
2939.67267,3349.68166,2217.53599,3761.02423,3295.62526,175
4332.49613,4193.47243,2473.22511,5183.49567,2736.10606,176
3621.09569,4156.93427,2132.01759,4088.56714,3145.86839,177
3774.03756,3573.56542,2204.63799,4596.41388,3071.20488,178
3570.14677,3720.24469,1942.45173,3606.29439,3433.29139,179
2594.02302,3068.51478,1373.89076,1757.94128,3428.68864,180
2560.05184,2410.89113,1779.4074,3120.42933,3405.417803,181
4219.20892,3823.39075,2214.68649,5274.09951,3289.28124,182
3963.44645,2889.22369,2124.65854,5468.80268,3042.88468,183
4025.437427,3494.704708,2124.262553,5262.337352,3166.58211,184
4066.12452,3372.90238,2128.28544,4860.89243,3150.08875,185
2348.50885,1735.99767,1683.58921,3153.58453,3401.782331,186
3040.93728,3108.6746,2087.7678,4472.89993,3793.95565,187
2973.42052,2966.66021,2106.61884,4633.94037,3410.65194,188
2223.95894,2232.56174,1500.79696,2347.67748,3411.067428,189
3441.04283,3129.29935,2000.57174,4436.95635,3730.403381,190
3743.36396,3524.31193,2083.55777,4647.49339,3333.312375,191
4315.585687,3413.730021,2020.09144,5037.813088,3197.811589,192
1612.76265,1496.00756,1171.46634,1921.58101,3695.39253,193
789.224145,824.864706,706.318673,860.644208,3751.622409,194
2080.04792,1684.57611,1057.17103,1549.87618,3549.809829,195
