GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
2806.459,3741.946,3741.946,3741.946,3741.946,3924.504,277
1402.722,1870.295,1870.295,1870.295,1870.295,4960.24,278
1872.805,2497.073,2497.073,2497.073,2497.073,5042.196,279
2037.353,2716.47,2716.47,2716.47,2716.47,4073.868,280
2880.615,3840.817,3840.817,3840.817,3840.817,4379.704,281
2888.449,3851.264,3851.264,3851.264,3851.264,4566.12,282
2592.102,3456.133,3456.133,3456.133,3456.133,5680.032,283
1907.948,2543.929,2543.929,2543.929,2543.929,4862.128,284
2069.139,2758.85,2758.85,2758.85,2758.85,5467.936,285
1494.328,1992.435,1992.435,1992.435,1992.435,4674.892,286
1521.435,2028.579,2028.579,2028.579,2028.579,4869.172,287
1940.967,2587.953,2587.953,2587.953,2587.953,4183.76,288
1580.649,2107.531,2107.531,2107.531,2107.531,4320.72,289
1393.056,1857.405,1857.405,1857.405,1857.405,4018.04,290
1685.081,2246.774,2246.774,2246.774,2246.774,4667.4,291
503.873,671.829,671.829,671.829,671.829,4662.712,292
860.658,1147.543,1147.543,1147.543,1147.543,5210.676,293
1199.086,1598.78,1598.78,1598.78,1598.78,5192,294
764.851,1019.799,1019.799,1019.799,1019.799,4773.008,295
1467.244,1956.321,1956.321,1956.321,1956.321,5028.912,296
2158.931,2878.569,2878.569,2878.569,2878.569,4387.6,297
614.999,819.997,819.997,819.997,819.997,4312.32,298
1088.08,1450.773,1450.773,1450.773,1450.773,5131.988,299
1407.679,1876.903,1876.903,1876.903,1876.903,5010.408,300
1933.812,2578.414,2578.414,2578.414,2578.414,5507.896,301
1788.197,2384.259,2384.259,2384.259,2384.259,5773.152,302
402.314,536.418,536.418,536.418,536.418,5289.308,303
879.742,1172.988,1172.988,1172.988,1172.988,4921.732,304
1243.936,1658.582,1658.582,1658.582,1658.582,4847.956,305
1077.775,1437.034,1437.034,1437.034,1437.034,5530.58,306
813.631,1084.839,1084.839,1084.839,1084.839,5546.588,307
1525.385,2033.847,2033.847,2033.847,2033.847,4505.976,308
1321.38,1761.837,1761.837,1761.837,1761.837,4328.824,309
1495.592,1994.119,1994.119,1994.119,1994.119,3762.264,310
1045.189,1393.585,1393.585,1393.585,1393.585,4778.824,311
420,559.997,559.997,559.997,559.997,4596.552,312
950.751,1267.664,1267.664,1267.664,1267.664,5570.556,313
621.34,828.455,828.455,828.455,828.455,5353.092,314
785.536,1047.382,1047.382,1047.382,1047.382,4907.508,315
942.352,1256.469,1256.469,1256.469,1256.469,4250.78,316
1206.557,1608.743,1608.743,1608.743,1608.743,4864.412,317
444.614,592.818,592.818,592.818,592.818,4461.072,318
