WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
50,50,50,50,5067,325
728,497,293,444,4695,326
440,258,176,272,4463,327
509,353,215,282,4838,328
752,408,297,457,4879,329
680,395,267,417,4466,330
101,91,72,75,4757,331
576,383,236,346,5158,332
583,304,231,363,4937,333
657,398,261,400,4603,334
613,308,237,379,4828,335
484,270,193,298,4799,336
547,334,218,330,4778,337
541,324,213,332,4994,338
636,407,255,391,4847,339
555,398,242,340,4942,340
622,379,251,387,4586,341
503,293,206,287,4935,342
485,287,240,338,4673,343
213,121,115,178,4487,344
93,76,74,93,4383,345
524,279,211,315,4592,346
489,246,194,310,4524,347
68,66,65,68,4345,348
258,148,109,146,4854,349
509,255,204,318,4887,350
498,273,204,302,5064,351
493,249,194,305,4680,352
445,224,173,264,4730,353
407,200,159,254,5121,354
575,286,230,355,4692,355
486,236,187,305,4596,356
185,147,128,151,4401,357
446,242,190,298,4768,358
504,260,205,308,4753,359
91,80,77,91,4992,360
506,263,210,299,4803,361
537,281,226,320,4931,362
499,252,197,305,4720,363
595,303,243,388,4850,364
639,316,251,425,4961,365
