,G_Bn
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0.002
1159,8.08
1160,44.11
1161,82.657
1162,107.49
1163,102.221
1164,106.622
1165,86.749
1166,58.56
1167,22.596
1168,1.768
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0.001
1183,3.181
1184,22.078
1185,52.472
1186,88.007
1187,94.864
1188,85.439
1189,64.75
1190,37.16
1191,18.049
1192,1.547
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0.001
1207,9.02
1208,53.376
1209,99.657
1210,104.376
1211,104.293
1212,86.328
1213,67.303
1214,55.223
1215,16.656
1216,1.694
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0.031
1231,9.967
1232,35.856
1233,63.797
1234,95.106
1235,110.118
1236,88.816
1237,67.006
1238,50.275
1239,24.054
1240,3.453
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0.009
1255,8.467
1256,36.175
1257,58.816
1258,84.375
1259,85.262
1260,79.55
1261,61.89
1262,37.524
1263,17.632
1264,1.865
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0.015
1279,13.048
1280,57.113
1281,116.505
1282,145.541
1283,165.894
1284,156.267
1285,105.108
1286,69.811
1287,31.859
1288,6.218
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0.043
1303,17.037
1304,50.942
1305,88.77
1306,99.385
1307,121.563
1308,95.813
1309,84.084
1310,67.513
1311,26.738
1312,3.452
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0.088
1327,26.844
1328,60.6
1329,110.374
1330,130.702
1331,130.771
1332,133.69
1333,116.79
1334,74.59
1335,42.287
1336,9.742
1337,0.029
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0.028
1351,11.739
1352,42.938
1353,105.342
1354,137.483
1355,109.993
1356,125.781
1357,102.277
1358,72.137
1359,30.86
1360,5.691
1361,0.038
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0.521
1375,30.556
1376,76.631
1377,108.524
1378,137.963
1379,120.703
1380,135.243
1381,102.452
1382,69.26
1383,39.801
1384,9.3
1385,0.028
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0.243
1399,13.505
1400,47.835
1401,82.392
1402,131.823
1403,153.299
1404,142.655
1405,132.449
1406,86.155
1407,39.005
1408,9.449
1409,0.05
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,1.86
1423,23.824
1424,67.451
1425,97.044
1426,186.61
1427,141.667
1428,93.883
1429,88.326
1430,50.813
1431,31.58
1432,5.308
1433,0.312
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0.774
1447,15.051
1448,47.418
1449,80.192
1450,101.373
1451,113.776
1452,96.651
1453,88.993
1454,70.601
1455,32.632
1456,8.78
1457,0.052
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0.38
1471,24.454
1472,62.832
1473,105.733
1474,139.352
1475,152.927
1476,134.365
1477,116.624
1478,82.001
1479,43.952
1480,7.204
1481,0.047
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0.404
1495,19.364
1496,56.051
1497,100.628
1498,116.189
1499,111.644
1500,119.385
1501,98.47
1502,83.775
1503,44.864
1504,12.06
1505,0.066
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0.953
1519,30.907
1520,63.407
1521,99.194
1522,118.073
1523,148.732
1524,149.909
1525,145.482
1526,91.823
1527,38.075
1528,8.806
1529,0.15
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1.736
1543,23.224
1544,63.756
1545,110.769
1546,155.556
1547,157.024
1548,156.311
1549,128.578
1550,85.7
1551,57.16
1552,15.297
1553,0.199
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,1.068
1567,24.841
1568,79.915
1569,108.399
1570,152.842
1571,153.581
1572,141.524
1573,113.012
1574,89.588
1575,35.239
1576,8.548
1577,0.049
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,2.397
1591,28.223
1592,66.131
1593,107.277
1594,147.117
1595,150.696
1596,135.992
1597,99.989
1598,71.982
1599,34.681
1600,8.176
1601,0.068
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,1.969
1615,28.29
1616,70.219
1617,96.725
1618,131.208
1619,135.268
1620,149.676
1621,131.869
1622,96.615
1623,59.634
1624,15.509
1625,0.093
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,2.007
1639,34.554
1640,73.313
1641,98.289
1642,128.489
1643,140.232
1644,144.435
1645,126.275
1646,89.507
1647,49.417
1648,11.919
1649,0.076
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,1.901
1663,32.034
1664,101.155
1665,152.966
1666,169.199
1667,196.532
1668,162.163
1669,131.326
1670,99.868
1671,42.411
1672,12.426
1673,0.071
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,2.157
1687,24.946
1688,64.689
1689,107.587
1690,141.326
1691,177.518
1692,155.545
1693,154.504
1694,91.607
1695,56.424
1696,20.95
1697,0.35
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,4.855
1711,40.994
1712,87.797
1713,134.003
1714,179.975
1715,194.663
1716,206.967
1717,162.316
1718,105.928
1719,69.737
1720,19.084
1721,0.229
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0.022
1734,4.363
1735,42.009
1736,89.151
1737,135.645
1738,140.785
1739,159.565
1740,167.59
1741,139.073
1742,100.471
1743,58.731
1744,15.451
1745,0.72
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0.002
1758,4.851
1759,35.971
1760,68.73
1761,111.749
1762,145.994
1763,172.789
1764,174.035
1765,151.896
1766,110.541
1767,49.297
1768,16.127
1769,1.212
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0.002
1782,3.667
1783,29.494
1784,60.735
1785,110.328
1786,135.014
1787,139.365
1788,128.716
1789,132.105
1790,77.769
1791,51.105
1792,11.605
1793,1
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0.001
1806,2.467
1807,25.429
1808,69.827
1809,86.938
1810,115.73
1811,116.843
1812,133.551
1813,143.234
1814,86.089
1815,53.307
1816,16.364
1817,0.535
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0.004
1830,2.609
1831,23.921
1832,65.303
1833,114.114
1834,120.938
1835,118.514
1836,109.154
1837,97.803
1838,88.994
1839,52.894
1840,19.323
1841,0.799
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0.009
1854,8.505
1855,31.647
1856,73.767
1857,114.63
1858,113.123
1859,144.806
1860,129.344
1861,95.242
1862,71.622
1863,48.722
1864,18.941
1865,1.665
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0.014
1878,12.252
1879,43.789
1880,82.272
1881,118.087
1882,170.401
1883,220.357
1884,213.757
1885,174.376
1886,121.366
1887,82.409
1888,28.37
1889,2.506
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0.014
1902,18.111
1903,49.847
1904,81.897
1905,142.91
1906,170.319
1907,190.183
1908,153.472
1909,121.398
1910,109.393
1911,60.836
1912,19.613
1913,1.548
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0.01
1926,13.966
1927,56.959
1928,102.588
1929,136.292
1930,184.536
1931,191.979
1932,175.131
1933,158.801
1934,125.308
1935,79.47
1936,30.928
1937,3.222
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0.025
1950,14.799
1951,58.534
1952,92.769
1953,131.989
1954,180.758
1955,175.588
1956,180.363
1957,173.054
1958,145.547
1959,88.193
1960,34.814
1961,4.42
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0.022
1974,23.491
1975,73.686
1976,133.767
1977,178.396
1978,226.544
1979,239.92
1980,230.872
1981,196.442
1982,158.794
1983,102.554
1984,43.783
1985,4.089
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0.071
1998,19.774
1999,67.638
2000,141.743
2001,182.597
2002,213.734
2003,235.355
2004,218.2
2005,193.216
2006,127.868
2007,91.515
2008,28.342
2009,3.812
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0.071
2022,21.608
2023,74.869
2024,136.139
2025,200.67
2026,223.759
2027,233.749
2028,183.496
2029,199.981
2030,144.422
2031,83.549
2032,24.372
2033,3.264
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,1.002
2046,15.996
2047,54.041
2048,116.194
2049,179.113
2050,203.081
2051,226.533
2052,183.194
2053,164.28
2054,120.291
2055,77.874
2056,34.28
2057,2.449
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
