,G_Dh
1145,0.005
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0.704
1159,22.324
1160,59.566
1161,89.907
1162,116.058
1163,130.714
1164,127.189
1165,107.035
1166,88.464
1167,55.718
1168,13.69
1169,0.016
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0.547
1183,22.515
1184,60.326
1185,94.843
1186,123.134
1187,144.094
1188,137.96
1189,121.053
1190,85.528
1191,50.373
1192,13.281
1193,0.034
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0.68
1207,28.631
1208,70.697
1209,102.497
1210,131.92
1211,143.571
1212,137.009
1213,124.066
1214,96.765
1215,57.735
1216,15.621
1217,0.045
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,1.176
1231,29.836
1232,71.548
1233,97.587
1234,114.679
1235,118.002
1236,117.307
1237,107.962
1238,83.898
1239,50.508
1240,14.316
1241,0.069
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,1.713
1255,27.666
1256,66.472
1257,104.18
1258,121.637
1259,134.077
1260,130.339
1261,122.836
1262,89.852
1263,52.791
1264,15.635
1265,0.06
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,1.937
1279,32.16
1280,74.227
1281,109.539
1282,133.507
1283,135.607
1284,138.38
1285,126.193
1286,104.409
1287,65.047
1288,19.325
1289,0.187
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,2.424
1303,32.797
1304,65.246
1305,92.778
1306,128.262
1307,134.18
1308,140.268
1309,118.909
1310,94.789
1311,60.335
1312,18.767
1313,0.193
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,4.012
1327,38.719
1328,82.22
1329,109.525
1330,126.916
1331,138.247
1332,128.56
1333,104.724
1334,92.308
1335,57.44
1336,19.471
1337,0.281
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,3.81
1351,32.433
1352,67.155
1353,104.987
1354,124.181
1355,139.979
1356,134.82
1357,115.971
1358,92.057
1359,62.469
1360,24.578
1361,0.486
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,5.797
1375,43.907
1376,84.012
1377,111.761
1378,124.351
1379,145.381
1380,143.283
1381,125.127
1382,93.975
1383,59.65
1384,22.642
1385,0.395
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,5.21
1399,41.355
1400,83.33
1401,109.811
1402,136.823
1403,146.356
1404,143.632
1405,124.756
1406,100.519
1407,64.291
1408,27.596
1409,0.725
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,5.825
1423,51.178
1424,102.964
1425,136.811
1426,146.721
1427,169.639
1428,146.251
1429,116.395
1430,84.235
1431,56.612
1432,18.835
1433,0.524
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,5.731
1447,41.358
1448,85.619
1449,122.719
1450,135.599
1451,139.077
1452,134.78
1453,115.518
1454,93.384
1455,64.335
1456,25.036
1457,0.806
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,6.14
1471,44.292
1472,87.271
1473,113.433
1474,148.972
1475,150.234
1476,147.639
1477,137.935
1478,107.94
1479,73.335
1480,28.9
1481,0.893
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
