WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
613,308,237,379,429,335
484,270,193,298,342,336
547,334,218,330,350,337
541,324,213,332,348,338
636,407,255,391,414,339
555,398,242,340,315,340
622,379,251,387,397,341
503,293,206,287,381,342
485,287,240,338,471,343
213,121,115,178,208,344
93,76,74,93,139,345
524,279,211,315,346,346
489,246,194,310,352,347
68,66,65,68,121,348
258,148,109,146,188,349
509,255,204,318,376,350
498,273,204,302,315,351
493,249,194,305,349,352
445,224,173,264,296,353
407,200,159,254,280,354
575,286,230,355,334,355
486,236,187,305,334,356
185,147,128,151,243,357
446,242,190,298,362,358
504,260,205,308,340,359
91,80,77,91,146,360
506,263,210,299,301,361
537,281,226,320,328,362
499,252,197,305,336,363
595,303,243,388,315,364
639,316,251,425,341,365
