WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
3612.694,2912.639,1380.131,3527.78,5225.418,220
3148.169,1914.943,1281.891,3666.427,4566.796,221
2849.702,1990.713,1157.014,3267.978,4117.848,222
3061.624,2033.772,1136.473,3376.344,4308.19,223
2717.14,2255.774,1269.853,2520.444,3831.616,224
3372.364,2423.961,1272.789,3502.445,4673.789,225
3609.149,2670.426,1141.11,3839.993,4952.508,226
1846.846,1567.991,1150.324,3055.602,2959.158,227
3140.592,2027.645,1144.862,3272.096,4200.122,228
3316.874,1921.288,1092.855,3105.019,4285.37,229
2737.779,1837.015,755.549,1248.224,3194.333,230
2705.798,1937.87,958.937,2164.621,3387.537,231
2509.861,1779.563,973.286,2972.447,3325.568,232
3233.536,1749.556,1211.964,3348.625,4155.521,233
2593.804,1526.813,1182.739,2961.181,3404.941,234
3976.082,2465.313,1131.42,2805.59,4697.319,235
3319.457,1709.508,1211.846,3104.591,4097.304,236
3389.314,2035.233,1022.204,2462.432,3924.47,237
4434.135,2437.854,1047.337,4308.257,5154.365,238
3217.597,1508.976,938.115,4110.3,3878.638,239
3471.007,2164.334,920.009,2815.942,3911.942,240
3635.668,2370.404,1144.125,2765.731,4205.324,241
3082.862,1666.478,942.772,2870.573,3528.615,242
3096.294,1866.574,824.146,1568.066,3242.049,243
2841.374,2170.033,880.109,1295.712,3158.736,244
3800.71,2545.207,918.403,3142.746,4056.775,245
2215.141,1533.835,810.868,1721.333,2417.663,246
1558.387,899.147,662.544,1943.66,1822.826,247
3550.05,2314.644,848.618,2818.404,3616.533,248
2846.916,1399.083,928.531,2642.071,3059.576,249
3512.805,2058.541,896.056,3135.386,3589.504,250
3394.505,2241.256,853.002,2912.626,3419.464,251
4272.872,2361.556,887.736,3231.18,4082.229,252
3625.044,1752.694,887.755,2635.929,3513.714,253
1073.384,739.482,655.344,1419.257,1478.47,254
3517.55,1967.267,865.141,2659.644,3348.932,255
4030.211,2578.614,887.652,2486.475,3718.167,256
4943.176,2636.446,901.921,3322.363,4363.34,257
3765.026,1364.19,795.726,3164.292,3387.11,258
1089.075,832.339,458.823,609.683,1133.405,259
3232.06,1713.977,773.013,2246.98,2908.705,260
3211.961,1773.577,751.599,2205.176,2839.359,261
3693.494,2134.891,868.532,2424.023,3261.769,262
4555.204,2226.903,824.488,2838.353,3733.577,263
5228.45,2584.284,821.998,3145.226,4125.28,264
4841.085,2288.756,810.946,3030.443,3821.845,265
1809.274,1464.692,624.379,927.67,1693.615,266
2072.066,918.613,635.094,1421.513,1873.885,267
3146.601,1641.184,722.017,1940.107,2585.371,268
636.559,389.253,374.398,705.127,778.721,269
3725.912,1626.111,688.899,2153.077,2828.734,270
2942.702,1306.767,595.004,1880.372,2253.634,271
595.882,308.034,270.011,423.969,621.845,272
3562.657,1763.279,654.752,2117.521,2605.142,273
2406.94,770.847,617.633,2186.689,1990.66,274
1771.731,637.209,605.76,2041.446,1683.541,275
223.588,218.56,210.71,216.072,405.532,276
4153.77,1287.84,618.044,2517.311,2788.4,277
1803.905,510.3,404.245,1318.766,1341.316,278
2668.374,1168.23,505.013,1390.855,1849.196,279
2577.222,1244.364,615.602,1191.117,1988.834,280
4334.424,1477.615,649.191,2175.815,2829.757,281
4601.001,1238.606,557.058,2701.904,2761.082,282
3839.677,1089.327,622.258,2046.982,2545.454,283
2772.544,911.869,513.228,1713.526,1854.327,284
3235.439,1028.174,514.258,1472.424,2047.672,285
1911.171,688.363,505.279,1433.935,1443.74,286
2229.376,771.18,460.298,1335.153,1501.107,287
3319.916,814.758,467.24,1632.179,1970.531,288
2287.819,812.049,482.482,1239.535,1558.382,289
1741.149,603.421,489.986,1552.535,1333.573,290
2017.664,818.823,605.248,1328.923,1631.412,291
486.069,368.309,197.965,218.23,460.918,292
1059.351,567.431,315.102,463.852,796.86,293
1900.833,722.012,383.801,989.932,1190.568,294
