,global,direct,diffuse,directDuration,resolution,doy
102,3437.5508,2428.1125,1009.4382,13.375,05m,103
103,3105.878,2084.655,1021.22284,12.333333,05m,104
104,3543.194,2510.9888,1032.2053,13.333333,05m,105
105,3201.954,2158.195,1043.7589,12.35,05m,106
106,3545.717,2490.5005,1055.2167,12.3,05m,107
107,3701.1152,2634.5796,1066.5356,13.416667,05m,108
108,3345.8484,2268.095,1077.7533,12.375,05m,109
109,3804.711,2715.8394,1088.8717,13.6,05m,110
110,3440.2805,2340.4263,1099.8541,13.0,05m,111
111,3906.688,2795.9868,1110.7009,13.666667,05m,112
112,3957.0488,2835.6084,1121.4404,14.083333,05m,113
113,3579.2222,2447.1423,1132.08,13.0,05m,114
114,4056.35,2913.8286,1142.5217,14.083333,05m,115
115,3669.6863,2516.846,1152.8403,13.083333,05m,116
116,4019.779,2856.7385,1163.0405,13.0,05m,117
117,4201.4795,3028.352,1173.1276,14.208333,05m,118
118,3662.2568,2479.2449,1183.0118,12.0,05m,119
119,4295.3564,3102.582,1192.7742,14.5,05m,120
120,4195.893,2993.4866,1202.4066,13.178572,05m,121
121,3929.766,2717.8384,1211.9276,13.0,05m,122
122,4430.537,3210.025,1220.5125,14.4,05m,123
123,4474.683,3245.0024,1229.6808,14.25,05m,124
124,3894.2295,2655.5566,1238.673,12.0,05m,125
125,4560.8926,3313.3787,1247.514,14.636364,05m,126
126,4440.8154,3184.6072,1256.2085,13.0,05m,127
127,4167.9683,2903.2104,1264.7576,13.0,05m,128
128,4517.582,3244.4736,1273.1088,13.818182,05m,129
129,4724.7935,3443.4988,1281.2948,14.0,05m,130
130,4521.5024,3232.1782,1289.3243,13.5,05m,131
131,4314.501,3017.3018,1297.1993,14.15,05m,132
132,4839.791,3534.8733,1304.9176,14.0,05m,133
133,4696.871,3384.4636,1312.4075,13.0,05m,134
134,4416.8564,3097.1304,1319.7261,14.25,05m,135
135,4265.3354,2938.456,1326.8793,13.0,05m,136
136,4981.565,3647.6968,1333.8682,14.125,05m,137
137,5014.944,3674.2498,1340.6941,14.375,05m,138
138,4352.1416,3004.8284,1347.313,13.0,05m,139
139,4571.9956,3218.2666,1353.7292,13.125,05m,140
140,5109.6304,3749.6655,1359.9648,14.166667,05m,141
141,4943.128,3577.1018,1366.0262,14.333333,05m,142
142,4655.495,3283.5818,1371.9135,14.125,05m,143
143,4681.4355,3303.8093,1377.6262,13.125,05m,144
144,4244.1387,2861.722,1382.4169,11.333333,05m,145
145,5248.177,3860.458,1387.7186,14.75,05m,146
146,4513.4834,3120.6738,1392.8097,12.25,05m,147
147,3845.4868,2447.7788,1397.7079,11.25,05m,148
148,4797.433,3395.021,1402.412,13.5,05m,149
149,3694.455,2287.5337,1406.9214,10.75,05m,150
150,4838.047,3426.8118,1411.235,13.833333,05m,151
151,4328.0693,2912.7173,1415.352,12.0,05m,152
152,4693.6724,3274.4006,1419.2716,14.0,05m,153
153,3937.6956,2514.7034,1422.9923,11.5,05m,154
154,4908.2603,3481.7622,1426.4977,13.75,05m,155
155,3887.2078,2457.4167,1429.7909,10.0,05m,156
156,4443.977,3011.0964,1432.8805,12.0,05m,157
157,4859.168,3423.4019,1435.7657,12.0,05m,158
158,2064.88,626.43414,1438.4458,5.75,05m,159
159,5037.7383,3596.8188,1440.9197,14.0,05m,160
160,2943.079,1499.8926,1443.1865,9.0,05m,161
161,4850.987,3405.7412,1445.2456,12.5,05m,162
162,3762.6746,2315.5784,1447.0961,11.0,05m,163
163,3170.48,1721.7428,1448.7372,5.0,05m,164
164,2018.508,568.33984,1450.1682,4.0,05m,165
165,2135.5422,684.15375,1451.3884,5.0,05m,166
166,3360.8408,1908.4435,1452.3975,5.0,05m,167
167,1792.3087,339.1142,1453.1945,1.0,05m,168
168,1870.0846,416.30524,1453.7794,3.0,05m,169
169,1599.4989,145.34715,1454.1517,3.0,05m,170
170,5577.425,4123.1133,1454.3114,16.134615,05m,171
171,5577.162,4122.9043,1454.2582,16.134615,05m,172
172,1485.8063,31.814058,1453.9922,2.0,05m,173
173,1915.8485,462.33493,1453.5135,3.0,05m,174
174,1519.7943,66.971825,1452.8225,1.0,05m,175
175,3416.199,1964.2797,1451.9194,5.0,05m,176
176,2375.2817,924.4771,1450.8047,3.0,05m,177
177,1975.2555,525.7765,1449.479,5.0,05m,178
178,2830.064,1382.121,1447.9429,5.0,05m,179
179,3154.004,1707.8069,1446.197,7.5,05m,180
180,4346.837,2902.595,1444.2421,9.0,05m,181
181,3489.971,2047.892,1442.079,9.5,05m,182
182,4349.3115,2909.6028,1439.7085,13.0,05m,183
183,3335.3943,1898.2628,1437.1315,9.75,05m,184
184,4064.889,2630.5403,1434.3488,11.0,05m,185
185,3801.5913,2370.2302,1431.3612,9.0,05m,186
186,3727.2283,2299.0586,1428.1697,10.0,05m,187
187,4029.8457,2605.0706,1424.7751,10.5,05m,188
188,4883.676,3462.5188,1421.157,14.0,05m,189
189,3176.916,1759.5795,1417.3365,8.5,05m,190
190,5163.2764,3749.958,1413.3181,14.5,05m,191
191,4859.7285,3450.6257,1409.1027,13.833333,05m,192
192,4807.926,3403.2349,1404.691,13.75,05m,193
193,4175.5205,2775.4363,1400.0842,12.0,05m,194
194,4536.458,3141.1748,1395.283,12.25,05m,195
195,5261.174,3870.8857,1390.2882,15.166667,05m,196
196,4780.196,3395.103,1385.0928,14.833333,05m,197
197,4842.5083,3462.0906,1380.4176,13.25,05m,198
198,4668.478,3293.686,1374.7919,13.25,05m,199
199,4642.1055,3273.1138,1368.9918,14.25,05m,200
200,5124.7725,3761.755,1363.0175,15.25,05m,201
201,4541.308,3184.4392,1356.8689,12.15,05m,202
202,4557.3994,3206.853,1350.5461,13.25,05m,203
203,4527.663,3183.627,1344.0363,14.0,05m,204
204,4496.9634,3159.6616,1337.3015,14.166667,05m,205
205,4964.5625,3634.1682,1330.3942,14.25,05m,206
206,4746.9243,3423.6008,1323.3232,13.0,05m,207
207,4400.274,3084.1863,1316.0875,14.0,05m,208
208,4858.2256,3549.5427,1308.683,14.125,05m,209
209,4821.108,3520.0286,1301.0796,14.0,05m,210
210,4783.1577,3489.8767,1293.281,14.944445,05m,211
211,4089.6655,2804.3367,1285.3291,12.583333,05m,212
212,4704.9644,3427.743,1277.2216,14.0,05m,213
213,4664.749,3395.793,1268.9562,14.875,05m,214
214,4148.864,2888.3628,1260.501,13.666667,05m,215
215,4421.193,3169.313,1251.8796,13.0,05m,216
216,4539.5947,3296.4834,1243.1116,14.7,05m,217
217,4030.9731,2796.7769,1234.1964,13.0,05m,218
218,4452.699,3227.5789,1225.1204,14.0,05m,219
219,4408.2183,3192.3472,1215.8712,14.325,05m,220
220,3908.78,2701.5994,1207.1808,13.0,05m,221
221,4318.473,3120.8682,1197.6049,14.0,05m,222
222,4272.098,3084.186,1187.9119,14.25,05m,223
223,3642.0042,2463.92,1178.0842,12.0,05m,224
224,4177.608,3009.5078,1168.1002,14.1875,05m,225
225,3997.1477,2839.1936,1157.9542,13.166667,05m,226
226,3647.2285,2499.5325,1147.6962,13.0,05m,227
227,4031.736,2894.417,1137.319,14.0,05m,228
228,3982.0728,2855.3005,1126.7722,13.9,05m,229
229,3510.1445,2394.061,1116.0836,13.0,05m,230
230,3881.3533,2776.0623,1105.2909,13.875,05m,231
231,3416.8225,2322.4326,1094.3899,12.8,05m,232
232,3778.9407,2695.6172,1083.3235,13.833333,05m,233
233,3727.144,2654.9856,1072.1583,13.333333,05m,234
234,3169.5706,2108.681,1060.8899,11.375,05m,235
235,3622.5217,2573.0186,1049.5032,13.333333,05m,236
236,3177.7354,2139.7417,1037.9937,12.3,05m,237
237,3422.487,2395.397,1027.0901,12.375,05m,238
238,3464.3503,2449.0076,1015.34265,13.375,05m,239
239,3032.3652,2028.8467,1003.5185,12.3125,05m,240
240,3356.907,2365.2727,991.63446,13.333333,05m,241
241,2933.785,1954.2015,979.58325,12.25,05m,242
242,3248.5637,2281.0872,967.47656,13.25,05m,243
243,3194.2366,2238.9265,955.3102,13.25,05m,244
244,3139.7114,2196.702,943.00946,13.25,05m,245
245,3085.0986,2154.4675,930.6311,13.15,05m,246
